vf	x	y	z
v	1.27E+01	-7.57E+00	2.29E+00
v	1.37E+01	-6.92E+00	2.48E+00
v	1.36E+01	-5.80E+00	3.48E+00
v	1.26E+01	-5.66E+00	4.40E+00
v	1.21E+01	-6.51E+00	4.13E+00
v	-9.36E+00	-3.54E+00	1.45E+00
v	-8.56E+00	-3.65E+00	4.66E-01
v	-7.01E+00	-3.59E+00	4.69E-01
v	-8.55E+00	-3.21E+00	2.08E+00
v	-7.78E+00	-3.53E+00	-5.58E-01
v	-7.02E+00	-3.33E+00	-1.61E+00
v	-5.48E+00	-3.38E+00	-1.60E+00
v	-4.64E+00	-3.61E+00	-5.52E-01
v	-5.48E+00	-3.54E+00	4.73E-01
v	-1.01E+01	-3.29E+00	-1.47E+00
v	-8.55E+00	-3.31E+00	-1.47E+00
v	-9.43E+00	-3.59E+00	-5.12E-01
v	-1.08E+01	-3.10E+00	-2.06E+00
v	-1.01E+01	-2.73E+00	-2.67E+00
v	-8.61E+00	-2.87E+00	-2.63E+00
v	-1.09E+01	-2.93E+00	2.58E+00
v	-9.32E+00	-2.96E+00	2.59E+00
v	-1.16E+01	-2.35E+00	3.27E+00
v	-1.01E+01	-3.25E+00	2.12E+00
v	1.39E+01	-4.75E+00	3.26E+00
v	1.36E+01	-3.56E+00	3.40E+00
v	1.33E+01	-4.75E+00	4.05E+00
v	1.27E+01	-3.82E+00	4.42E+00
v	1.44E+01	-4.75E+00	2.50E+00
v	1.24E+01	-4.73E+00	4.81E+00
v	-1.34E+01	4.20E+00	-6.30E-01
v	-1.27E+01	4.15E+00	-1.72E+00
v	-1.15E+01	4.83E+00	-1.51E+00
v	-1.50E+01	3.18E+00	6.05E-01
v	-1.40E+01	4.06E+00	4.55E-01
v	-1.52E+01	2.76E+00	-3.77E-01
v	-1.46E+01	2.85E+00	-1.51E+00
v	-1.38E+01	3.62E+00	-1.39E+00
v	8.47E+00	-5.65E+00	4.36E+00
v	1.06E+01	-6.57E+00	4.19E+00
v	1.06E+01	-5.41E+00	5.14E+00
v	9.85E+00	-4.66E+00	5.42E+00
v	9.08E+00	-5.24E+00	4.99E+00
v	9.08E+00	-6.37E+00	4.01E+00
v	9.82E+00	-6.98E+00	3.52E+00
v	1.14E+01	-6.05E+00	4.71E+00
v	-9.89E+00	4.64E+00	2.34E+00
v	-1.16E+01	3.57E+00	3.12E+00
v	-9.31E+00	4.39E+00	2.86E+00
v	-1.10E+01	3.36E+00	3.70E+00
v	-1.56E+00	4.20E+00	4.82E+00
v	-1.48E+00	5.51E+00	3.69E+00
v	-5.27E-02	4.12E+00	4.56E+00
v	-2.41E+00	4.89E+00	4.38E+00
v	-3.98E-01	4.94E+00	3.35E+00
v	-8.82E-01	3.57E+00	5.15E+00
v	-7.18E+00	6.62E+00	1.67E+00
v	-7.58E+00	5.95E+00	2.27E+00
v	-6.20E+00	7.07E+00	1.34E+00
v	-5.48E+00	6.81E+00	2.07E+00
v	-4.78E+00	7.43E+00	1.55E+00
v	-3.18E+00	7.70E+00	1.88E+00
v	-3.18E+00	6.70E+00	2.98E+00
v	-3.77E+00	7.92E+00	1.30E+00
v	-2.42E+00	7.11E+00	2.42E+00
v	-1.52E+01	2.77E+00	1.31E+00
v	-1.45E+01	2.83E+00	2.42E+00
v	-1.39E+01	3.48E+00	2.02E+00
v	-1.24E+01	3.01E+00	3.48E+00
v	-1.10E+01	2.01E+00	4.94E+00
v	-5.34E+00	7.90E+00	-3.03E-01
v	-6.96E+00	7.21E+00	4.30E-01
v	-5.63E+00	7.69E+00	6.48E-01
v	-1.62E+01	7.36E-01	2.49E+00
v	-1.65E+01	-1.62E+00	2.78E+00
v	-1.55E+01	-1.46E+00	3.56E+00
v	-1.68E+01	-5.21E-01	2.39E+00
v	-1.54E+01	6.69E-01	3.48E+00
v	-1.51E+01	-3.77E-01	4.03E+00
v	-1.55E+01	1.82E+00	2.51E+00
v	-1.37E+01	2.63E+00	3.26E+00
v	6.04E-01	4.38E+00	3.48E+00
v	1.39E+00	4.33E+00	2.47E+00
v	2.18E+00	3.35E+00	4.94E+00
v	2.77E+00	3.54E+00	4.34E+00
v	1.34E+00	3.77E+00	4.36E+00
v	2.19E+00	4.68E+00	3.44E-01
v	2.95E+00	4.75E+00	-5.42E-01
v	4.49E+00	4.84E+00	-5.73E-01
v	5.25E+00	5.08E+00	4.70E-01
v	2.95E+00	4.56E+00	9.89E-01
v	-3.81E+00	-3.59E+00	4.08E-01
v	1.49E+01	-2.69E+00	3.33E-01
v	1.48E+01	-3.66E+00	1.25E+00
v	1.43E+01	-3.85E+00	2.33E+00
v	1.47E+01	-1.46E+00	4.97E-01
